Date,Bitcoin Price,Bitcoin Open,Bitcoin High,Bitcoin Low,Gold Price,Gold Open,Gold High,Gold Low
01/06/2014,600.8714286,590.5142857,609.5714286,583.6857143,1263.82,1271.24,1273.16,1264.74
08/06/2014,664.0428571,660.8428571,673.9142857,648.6285714,1247.42,1247.32,1252.04,1242.32
15/06/2014,606.0571429,621.0142857,628.0285714,595.8285714,1264.28,1259.5,1266.4,1258.64
22/06/2014,602.6,597.3285714,610.6857143,592.7571429,1289.78,1284.22,1294.28,1276.62
29/06/2014,591.8,593.1857143,599.0142857,585.8142857,1319.24,1316.04,1321.28,1313.12
06/07/2014,639.6857143,639.3142857,648.2428571,631.4428571,1447.4,1323.44,1328.5,1319.48
13/07/2014,621.1714286,622.0142857,626.7428571,615.0428571,1482.14,1326.08,1331.38,1323.48
20/07/2014,623.3714286,623.1285714,626.9714286,616.9571429,1460.74,1312.88,1318.9,1301
27/07/2014,604.6285714,609.1428571,611.5142857,598.4142857,1459.82,1302.78,1303.68,1302.78
03/08/2014,579.4571429,578.5142857,588.4,568.6714286,1453.48,1299.22,1303.16,1293.12
10/08/2014,580.8,580.8142857,585.2428571,578.7571429,1455.36,1297.32,1306.4,1293.36
17/08/2014,533.1714286,544.9571429,550.0285714,519.8,1465.44,1309.38,1313.46,1303.56
24/08/2014,503.4857143,501.6428571,514.9428571,487.8714286,1442.82,1292.32,1293.92,1285.02
31/08/2014,502.8,507.7428571,511.1428571,500.8,1413.566667,1309.716667,1311.516667,1307.233333
07/09/2014,480.6285714,481.5428571,486.5285714,476.8142857,1395.48,1274.06,1277.84,1267
14/09/2014,474.8428571,475.0571429,479.8857143,468.8285714,1400,1247.26,1247.26,1243.38
21/09/2014,432.3714286,442.6142857,450.1571429,424.7571429,1386.56,1227.14,1229.64,1223.8
28/09/2014,404.4714286,408.1,416.6428571,394.8714286,1374.62,1215.26,1216.58,1214.76
05/10/2014,360.0428571,368.5428571,375.8142857,350.0714286,1365.12,1213.3,1218.02,1205.1
12/10/2014,351.5857143,345.2,360.4,335.5571429,1356.2,1241,1243.9,1238.3
19/10/2014,387.2428571,384.1285714,393.7571429,376.2714286,1333.18,1237.78,1239.48,1232.6
26/10/2014,364.7571429,369.8428571,373.5428571,360.1142857,1361.96,1238.1,1240.1,1237.6
02/11/2014,338.2142857,342.6714286,346.4857143,334.4714286,1334.6,1218.54,1219.98,1206.7
09/11/2014,340.4285714,335.8142857,344.4857143,332.2428571,1281.64,1156.48,1165.84,1147.34
16/11/2014,390.8714286,388.7,404.0857143,373.5857143,1286.76,1161.48,1173.02,1152.56
23/11/2014,364.1428571,369,376.7142857,358.6285714,1311.48,1191.9,1195.32,1188.84
30/11/2014,373.3285714,372.1428571,381.7714286,362.7714286,1284.78,1197.92,1198.72,1187.3
07/12/2014,375.8857143,376,380.1428571,371.4428571,1321.6,1196.34,1213.08,1183.48
14/12/2014,352.9285714,356.0857143,360.8428571,348.5,1337.18,1215.64,1227.88,1209.64
21/12/2014,323.7571429,329.6714286,333.6714286,319.0428571,1306.3,1201.24,1210.56,1192.18
28/12/2014,323.6571429,324,328.1857143,318.0714286,1269.94,1181.3,1186.18,1174.72
04/01/2015,301.0714286,310.1285714,313.0857143,299.3,1292.94,1245.02,1251.48,1246.24
11/01/2015,282.1714286,281.3,290.3285714,274.0857143,1355.66,1352.96,1352.96,1351.98
18/01/2015,216.5857143,224.5714286,238.2714286,203.5285714,1364.816667,1360.866667,1361.016667,1360.35
25/01/2015,230.3571429,226.2428571,237.0428571,218.2428571,1388.9,1378.66,1378.68,1377.24
01/02/2015,240.8142857,245.7285714,260.3285714,227.1428571,1394.18,1397.46,1397.46,1397.46
08/02/2015,226.6428571,227.2142857,233.2285714,220.2,1362.12,1360.84,1360.84,1360.84
15/02/2015,230.4857143,228.8857143,237.9285714,221.7857143,1310.5,1310.4,1310.583333,1310.333333
22/02/2015,240.1,239.9571429,245.9714286,234.5428571,1290.64,1292.72,1294.26,1292.68
01/03/2015,246.7285714,243.0428571,249.5857143,238.9142857,1300.66,1300.66,1300.66,1300.66
08/03/2015,276.8428571,274.9857143,282.4285714,267.1142857,1294.46,1294.46,1294.46,1294.46
15/03/2015,289.8285714,288.1714286,295.3571429,285.6285714,1254.48,1254.48,1254.48,1254.48
22/03/2015,269.6,272.1714286,277.4,263.4428571,1255.1,1255.1,1255.1,1255.1
29/03/2015,250.0142857,253.8428571,257.2428571,245.2571429,1286.98,1286.98,1286.98,1286.98
05/04/2015,251.5142857,249,253.4714286,246.5285714,1283.84,1283.84,1283.84,1283.84
12/04/2015,243.8857143,247.3285714,249.2142857,240.5285714,1293.96,1293.96,1293.96,1293.96
19/04/2015,223.6285714,225.6571429,228.2142857,220.0428571,1284.7,1284.7,1284.7,1284.7
26/04/2015,229.6142857,230.1428571,232.8,225.6571429,1277.1,1277.1,1277.1,1277.1
03/05/2015,231.6571429,228.5714286,235.2571429,226.6428571,1285.94,1285.94,1285.94,1285.94
10/05/2015,238.3714286,238.3714286,243.3,234.0428571,1282.98,1282.98,1282.98,1282.98
17/05/2015,238,238.6428571,241.0857143,235.6142857,1302.88,1302.88,1302.88,1302.88
24/05/2015,236.3857143,235.7,238.6714286,233.7857143,1288.05,1290.966667,1291.083333,1289.1
31/05/2015,235.1428571,236.9,237.5714286,233.6714286,1265.88,1266.66,1267.54,1263.36
07/06/2015,224.0571429,224.8428571,227.5,222.0857143,1276.96,1276.44,1277,1275.92
14/06/2015,230.3,228.8714286,231.9142857,228.1714286,1280.2,1280.2,1280.2,1280.2
21/06/2015,245.9714286,244.4285714,249.8,240.4857143,1288.46,1288.46,1288.46,1287.78
28/06/2015,245.2142857,244.5857143,247.2142857,242.1857143,1274.26,1274.26,1274.26,1273.64
05/07/2015,259.1428571,256.8,262.5857143,253.3571429,1249.32,1248.7,1249.56,1248.58
12/07/2015,279.6833333,274.7,283.05,272.65,1258.08,1258.08,1258.08,1258.08
19/07/2015,282.2857143,287.4428571,291.6857143,278.8857143,1245.52,1245.52,1245.52,1245.52
26/07/2015,283.0857143,280.5,285.1714286,278.4857143,1192.54,1192.54,1192.54,1192.54
02/08/2015,287.9142857,289.4142857,291.7428571,283.7142857,1187.04,1187.04,1187.04,1187.04
09/08/2015,276.5,278.9142857,281.4714286,274.0142857,1180,1180,1180,1180
16/08/2015,265.2571429,266.1142857,268.7285714,262.2428571,1202.78,1202.78,1202.78,1202.78
23/08/2015,227.7428571,233.8142857,243.0857143,218.1285714,1224.06,1224.06,1224.06,1224.06
30/08/2015,225.4,225.1142857,231.8,217.6714286,1219.44,1219.44,1219.44,1219.44
06/09/2015,232.0428571,230.4714286,235.0714286,228.1714286,1196.083333,1196.483333,1196.616667,1196.033333
13/09/2015,238.7,240.1285714,242.7142857,236.9142857,1174.06,1173.98,1174.88,1173.12
20/09/2015,231.7714286,231.6142857,234.0142857,229.9428571,1194.3,1192.72,1192.72,1192.72
27/09/2015,232.4142857,232.2,234.8428571,230.2,1212.2,1212.2,1212.2,1212.2
04/10/2015,238.4857143,237.6142857,240.5428571,236.5142857,1194.68,1194.68,1194.68,1194.68
11/10/2015,245.0428571,243.8142857,246.5285714,242.2571429,1212.22,1212.22,1212.22,1212.22
18/10/2015,258.2142857,255.8,261.8142857,252.7857143,1240.88,1240.88,1240.88,1240.88
25/10/2015,275.4,272.5857143,279.4142857,270.5142857,1230.76,1230.76,1230.76,1230.76
01/11/2015,310.9571429,304.4,317.2285714,300.1142857,1212.96,1212.96,1212.96,1212.96
08/11/2015,385.9571429,379.7285714,418.3,359.3285714,1165.64,1165.64,1165.64,1165.64
15/11/2015,337.8285714,345.6,354.6714286,324.7142857,1145.32,1145.32,1145.32,1145.32
22/11/2015,329.3285714,328.7571429,333.7714286,321.1,1133.14,1133.88,1135.36,1133.88
29/11/2015,345.5,338.5428571,350.8142857,333.8714286,1114,1113.86,1114.68,1113.68
06/12/2015,371.8857143,369.4714286,380.5571429,360.6857143,1124.42,1124.42,1124.42,1124.42
13/12/2015,425.1571429,419.3571429,435.4285714,404.0714286,1133.46,1133.46,1133.46,1133.46
20/12/2015,455.5,453.9428571,462.4142857,441.8571429,1121.58,1121.58,1121.58,1121.58
27/12/2015,438.0857143,440.9142857,448.3571429,427.7,1134.65,1134.65,1134.65,1134.65
03/01/2016,428.7428571,427.8,433.3142857,420.8285714,1124.625,1124.625,1124.625,1124.625
10/01/2016,443.4714286,440.6,448,434.6571429,1148.04,1148.04,1148.04,1148.04
17/01/2016,410.1571429,419.7857143,426.8571429,400.7571429,1128.966667,1128.683333,1129.05,1128.683333
24/01/2016,395.1142857,392.1428571,406.0857143,381.2571429,1132.44,1132.78,1133.4,1132.22
31/01/2016,382.2571429,387.5428571,391.1428571,376.2285714,1161.84,1161.84,1161.84,1161.84
07/02/2016,376.4857143,375.5428571,382.6571429,369.7,1184.52,1189,1189,1189
14/02/2016,383.9571429,378.8,387,376.7857143,1249.1,1248.2,1248.233333,1247.483333
21/02/2016,420.4,415.7714286,426.8142857,410.3571429,1245.26,1248.22,1248.44,1241.98
28/02/2016,430.9571429,431.8857143,436.2428571,421.9714286,1264.2,1264.06,1264.06,1264.06
06/03/2016,418.1285714,422.4857143,427.4142857,412.2714286,1288.76,1288.76,1288.76,1288.76
13/03/2016,413.6857143,412.5428571,417.7571429,408.3,1310.28,1306.18,1306.18,1306.18
20/03/2016,413.5714286,413.6428571,416.8428571,410.0285714,1294.32,1292.44,1292.72,1292.44
27/03/2016,417.5857143,415.2857143,419.3285714,412.7142857,1270.92,1275.92,1275.92,1270.06
03/04/2016,418.2285714,419.2714286,421.5428571,414.3714286,1276.74,1276.74,1276.74,1276.74
10/04/2016,421.0714286,420.9714286,422.7571429,417.2,1275.52,1275.52,1275.52,1275.52
17/04/2016,427.5857143,426.6285714,429.9428571,424.6285714,1290.9,1290.9,1290.9,1290.9
24/04/2016,446.9,442,449.0857143,439.1857143,1292.34,1292.34,1292.34,1292.34
01/05/2016,454.0714286,455.7428571,461.5,447.4,1307.9,1307.9,1307.9,1307.9
08/05/2016,453.0285714,451.7714286,456.5,447.0857143,1334.46,1334.46,1334.46,1334.46
15/05/2016,455.5857143,455.8714286,459.5571429,451.5285714,1316.8,1316.8,1316.8,1316.8
22/05/2016,444.9428571,447.7857143,450.2571429,441.6571429,1316.56,1316.56,1316.56,1316.56
29/05/2016,474.5428571,461.1571429,483.9428571,457.8571429,1281.24,1281.24,1281.24,1281.24
05/06/2016,550.9714286,544.8571429,563.3428571,536.8285714,1261.63,1260.85,1261.83,1259.56
12/06/2016,598.0285714,584.1857143,604.5285714,576.4571429,1312.86,1312.86,1312.86,1312.86
19/06/2016,732.9142857,719.3142857,749.1571429,692.4714286,1339.28,1339.28,1339.28,1339.28
26/06/2016,657.5571429,671.9857143,693.6857143,631.5142857,1337.08,1337.08,1337.08,1337.08
03/07/2016,666,661.6714286,679.0714286,641.9,1374.533333,1374.366667,1374.875,1373.425
10/07/2016,661.3142857,662.7428571,673.4857143,639.4,1403.24,1401.84,1404.87,1401.44
17/07/2016,663.2428571,658.4428571,672.1857143,653.2,1394.44,1394.44,1394.44,1394.44
24/07/2016,663.4142857,666.4714286,670.8285714,655.3142857,1387.02,1387.02,1387.02,1387.02
31/07/2016,649.0333333,655.8,659.1833333,644.1333333,1394.08,1394.88,1394.88,1394.88
07/08/2016,604.6428571,607.3571429,609.0142857,602.9285714,1421.06,1421.06,1421.06,1421.06
14/08/2016,589.7714286,594.7571429,598.3428571,586.4428571,1410.46,1410.32,1410.32,1410.32
21/08/2016,574.2428571,572.5571429,579.0142857,569.6857143,1413.46,1411.8,1411.8,1411.8
28/08/2016,578.5285714,579.5571429,583.0714286,575.3,1394.12,1393.92,1393.92,1393.92
04/09/2016,586.7714286,581.0142857,589.7,577.5142857,1368.491667,1368.816667,1368.908333,1368.475
11/09/2016,620.6571429,620.9857143,626.7714286,612.6142857,1388.52,1387.57,1388.73,1387.41
18/09/2016,611.7428571,611.6142857,615.5142857,609,1378.1,1379.66,1379.66,1377.9
25/09/2016,601.5,603.3142857,605.6,598.9571429,1386.52,1386.52,1386.52,1386.52
02/10/2016,608.1857143,606.9428571,611.0714286,604.3714286,1381.84,1384.46,1384.46,1384.46
09/10/2016,615.4857143,614.3857143,617.9142857,612.3571429,1323.86,1323.86,1323.86,1323.86
16/10/2016,637.5142857,633.6,641.5285714,631.7285714,1310.76,1310.76,1310.76,1310.76
23/10/2016,643.3714286,641.2428571,649.3142857,635.6571429,1320.42,1320.42,1320.42,1320.42
30/10/2016,684.5857143,678.3714286,691.5428571,673.3714286,1328.1,1328.1,1328.1,1328.1
06/11/2016,713.7285714,714.0142857,727.5142857,696.6857143,1355.84,1355.84,1355.84,1355.84
13/11/2016,712.4571429,712.7142857,720.4714286,702.9,1324.32,1323.98,1323.98,1323.98
20/11/2016,734.5571429,731.4714286,744.6857143,719.7142857,1285.66,1285.66,1285.66,1285.66
27/11/2016,737.9,738.5428571,744,727.4714286,1248.55,1249.28,1249.5,1247.39
04/12/2016,752.2285714,746.0285714,756.0142857,741.9428571,1245.72,1245.72,1245.72,1245.72
11/12/2016,764.5142857,764.2428571,771.0142857,757.6571429,1241.94,1240.94,1240.94,1240.94
18/12/2016,781.4714286,778.6142857,786.4428571,774.8714286,1229.24,1229.24,1229.24,1229.24
25/12/2016,855.7142857,840.3285714,862.8857143,828.0571429,1204.166667,1204.166667,1204.166667,1204.166667
01/01/2017,960.2714286,946.1428571,967.8857143,931.3142857,1211.23,1212.22,1212.43,1212.02
08/01/2017,988.9,1000.985714,1038.285714,927.1,1232.13,1229.72,1230.49,1229.52
15/01/2017,836.5857143,850.3142857,868.8,807.4714286,1264.008333,1262.2,1263.491667,1262.2
22/01/2017,895.1285714,880.3428571,906.5571429,863.4142857,1274.13,1273.91,1274.95,1273.26
29/01/2017,907.6,908.9571429,920.3142857,900.3428571,1283.74,1285.28,1285.28,1284.44
05/02/2017,989.4857143,976.3857143,997.0285714,963.3142857,1292.1,1292,1292.4,1292
12/02/2017,1013.828571,1015.414286,1034.985714,986.1714286,1315.58,1317.14,1317.14,1317.14
19/02/2017,1033.514286,1024.885714,1041.342857,1016.185714,1300.566667,1300.35,1300.891667,1300.35
26/02/2017,1150.485714,1132.985714,1167.028571,1104.2,1308.16,1307.97,1308.55,1307.22
05/03/2017,1244.871429,1230.114286,1257.357143,1212.828571,1325.44,1325.44,1325.44,1325.44
12/03/2017,1194.714286,1202.328571,1254.028571,1139.742857,1293.32,1295.3,1295.3,1295.28
19/03/2017,1137.728571,1167.542857,1193.157143,1110.328571,1296.3,1297.78,1297.78,1297.78
26/03/2017,1015.771429,1022.614286,1051.957143,975,1327.32,1324.82,1324.82,1324.82
02/04/2017,1064.671429,1045,1077.185714,1028.657143,1333.38,1338.92,1338.92,1338.38
09/04/2017,1175.414286,1160.028571,1187.614286,1144.671429,1333.24,1332.5,1332.5,1332.5
16/04/2017,1211.771429,1212.514286,1228.442857,1195.157143,1340.07,1340.07,1340.07,1340.07
23/04/2017,1300.371429,1280.085714,1309.242857,1269.7,1365.98,1364.54,1368.18,1364.54
30/04/2017,1404.185714,1393.128571,1418.085714,1371.385714,1347.32,1347.32,1347.32,1347.32
07/05/2017,1582.871429,1556.457143,1627.885714,1515.157143,1322.3,1323.1,1323.1,1323.1
14/05/2017,1785.342857,1755.642857,1827.928571,1707.1,1301.48,1305.16,1305.2,1304.58
21/05/2017,1917.871429,1888.9,1948.242857,1852.142857,1323.54,1325.22,1325.36,1325.22
28/05/2017,2162.542857,2161.514286,2356.214286,2029.028571,1324.353333,1324.035,1324.486667,1324.035
04/06/2017,2316.085714,2254.7,2358.071429,2179.471429,1330.118,1330.384,1330.5,1329.772
11/06/2017,2779.4,2715.585714,2844.8,2654.928571,1357.4,1357.4,1357.4,1357.4
18/06/2017,2508.442857,2572.328571,2659.828571,2316.585714,1337.24,1337.56,1337.56,1337.56
25/06/2017,2606.028571,2609.985714,2694.514286,2521.957143,1319.84,1319.84,1319.84,1319.84
02/07/2017,2445.614286,2450.314286,2507.785714,2327.671429,1317.72,1318.74,1318.74,1316.92
09/07/2017,2542.5,2537.714286,2589.871429,2473.514286,1278.29,1277.42,1278.166,1276.678
16/07/2017,2201.771429,2281.857143,2324.2,2123.2,1290.44,1288.48,1288.48,1288.48
23/07/2017,2555.385714,2439.957143,2655.2,2349.342857,1315.12,1315.12,1315.12,1315.12
30/07/2017,2681.3,2681.642857,2752.371429,2567.385714,1329.46,1329.1,1329.1,1329.1
06/08/2017,2917.685714,2849.185714,2981.771429,2774.6,1341.16,1341.16,1341.16,1341.16
13/08/2017,3588.914286,3471,3661.628571,3412.385714,1345.72,1344.6,1344.6,1344.6
20/08/2017,4202.471429,4204.557143,4341.157143,3976.471429,1355.02,1355.8,1357.76,1355.8
27/08/2017,4222.257143,4186.128571,4297.685714,4075.9,1361.62,1361.62,1361.62,1361.62
03/09/2017,4613.2,4576.371429,4718.085714,4421.942857,1379.336667,1379.273333,1380.228333,1379.01
