Date,PriceBTC,OpenBTC,HighBTC,LowBTC,PriceGold,OpenGold,HighGold,LowGold
2017-05-21,1917.8714285714289,1888.8999999999999,1948.242857142857,1852.142857142857,1323.5400000000002,1325.22,1325.36,1325.22
2017-05-28,2162.5428571428574,2161.514285714286,2356.214285714286,2029.0285714285715,1324.3533333333335,1324.035,1324.4866666666667,1324.035
2017-06-04,2316.085714285714,2254.7000000000003,2358.0714285714284,2179.4714285714285,1330.118,1330.384,1330.5,1329.7720000000002
2017-06-11,2779.4,2715.585714285714,2844.7999999999997,2654.9285714285716,1357.4,1357.4,1357.4,1357.4
2017-06-18,2508.442857142857,2572.328571428571,2659.828571428571,2316.585714285714,1337.24,1337.56,1337.56,1337.56
2017-06-25,2606.0285714285715,2609.9857142857145,2694.5142857142855,2521.957142857143,1319.84,1319.84,1319.84,1319.84
2017-07-02,2445.6142857142854,2450.3142857142857,2507.785714285714,2327.6714285714284,1317.72,1318.7400000000002,1318.7400000000002,1316.92
2017-07-09,2542.5,2537.714285714286,2589.871428571429,2473.514285714286,1278.2900000000002,1277.42,1278.1660000000002,1276.678
2017-07-16,2201.7714285714287,2281.857142857143,2324.2000000000003,2123.2000000000003,1290.44,1288.48,1288.48,1288.48
2017-07-23,2555.3857142857146,2439.957142857143,2655.2,2349.342857142857,1315.1200000000001,1315.1200000000001,1315.1200000000001,1315.1200000000001
2017-07-30,2681.2999999999997,2681.6428571428573,2752.371428571428,2567.3857142857146,1329.4600000000003,1329.1,1329.1,1329.1
2017-08-06,2917.6857142857148,2849.1857142857143,2981.7714285714287,2774.6,1341.16,1341.16,1341.16,1341.16
2017-08-13,3588.9142857142856,3471.0000000000005,3661.628571428572,3412.3857142857137,1345.72,1344.6,1344.6,1344.6
2017-08-20,4202.471428571428,4204.557142857143,4341.157142857142,3976.471428571429,1355.02,1355.7999999999997,1357.7599999999998,1355.7999999999997
2017-08-27,4222.257142857143,4186.128571428571,4297.685714285714,4075.899999999999,1361.62,1361.62,1361.62,1361.62
2017-09-03,4613.2,4576.371428571429,4718.085714285715,4421.942857142857,1379.3366666666668,1379.2733333333333,1380.2283333333332,1379.0100000000002
2017-09-10,4376.242857142856,4430.328571428572,4538.928571428572,4146.514285714286,1398.496,1399.1219999999998,1399.7980000000002,1398.2820000000002
2017-09-17,3783.3428571428567,3863.9999999999995,4041.0285714285715,3583.871428571428,1399.3799999999999,1400.3399999999997,1400.3399999999997,1400.3399999999997
2017-09-24,3784.514285714285,3784.9571428571426,3929.7857142857138,3653.471428571428,1377.4599999999998,1377.58,1377.58,1377.58
2017-10-01,4163.671428571429,4056.9285714285716,4216.228571428571,3993.0285714285715,1367.44,1367.14,1367.14,1367.14
2017-10-08,4380.257142857144,4349.8,4453.128571428571,4274.585714285714,1349.6399999999999,1350.54,1350.54,1350.54
2017-10-15,5283.3,5130.400000000001,5391.071428571428,5027.457142857143,1369.4,1369.1,1369.1,1369.1
2017-10-22,5798.657142857142,5761.928571428572,5894.7,5557.057142857143,1364.7199999999998,1365.18,1365.18,1365.18
2017-10-29,5808.942857142857,5783.571428571428,5981.157142857142,5589.214285714285,1352.44,1352.96,1352.96,1352.96
2017-11-05,6908.6,6707.842857142858,7045.0428571428565,6614.314285714286,1351.9,1351.9,1351.9,1351.9
2017-11-12,6755.985714285714,6972.942857142857,7221.714285714285,6559.828571428571,1359.44,1359.44,1359.44,1359.44
2017-11-19,7385.957142857143,7065.185714285714,7530.657142857143,6910.557142857143,1364.14,1364.14,1364.14,1364.14
2017-11-26,8403.342857142856,8226.4,8554.785714285714,8078.557142857144,1352.4119999999998,1352.318,1352.8539999999998,1351.61
2017-12-03,10312.885714285714,10047.685714285715,10811.957142857142,9570.771428571428,1368.8400000000001,1371.96,1371.96,1371.96
2017-12-10,14120.57142857143,13565.714285714286,14710.285714285714,12355.57142857143,1342.08,1341.48,1341.48,1341.48
2017-12-17,17423.571428571428,16856.928571428572,18109.571428571428,16398.14285714286,1330.4,1331.36,1331.36,1329.7599999999998
2017-12-24,15578.828571428572,16360.285714285714,16865.571428571428,14273.028571428571,1350.3799999999999,1349.1599999999999,1349.28,1349.1599999999999
2017-12-31,14212.142857142857,14173.42857142857,15133.57142857143,13091.985714285713,1358.0,1356.7399999999998,1356.86,1356.52
2018-01-07,15521.828571428572,15191.142857142857,15934.285714285714,14418.42857142857,1385.68,1384.1,1384.88,1383.8600000000001
2018-01-14,14149.57142857143,14524.42857142857,14935.114285714286,13324.471428571429,1398.5833333333333,1398.0833333333333,1398.2333333333333,1397.8666666666668
2018-01-21,11784.57142857143,12077.42857142857,12705.42857142857,10870.92857142857,1409.1599999999999,1408.2599999999998,1409.78,1408.2
2018-01-28,11217.142857142857,11167.014285714287,11718.857142857143,10534.157142857144,1447.38,1447.38,1447.38,1447.38
2018-02-04,9595.32857142857,10113.171428571428,10289.757142857143,9091.814285714285,1439.3200000000002,1439.3200000000002,1439.3200000000002,1439.3200000000002
2018-02-11,7965.871428571429,7982.471428571428,8538.042857142858,7307.328571428571,1418.78,1418.78,1418.78,1418.78
2018-02-18,9779.471428571429,9451.728571428572,10031.257142857143,9158.285714285716,1425.5666666666668,1425.4333333333334,1425.8833333333334,1425.4333333333334
2018-02-25,10292.1,10410.857142857143,10844.42857142857,9938.214285714286,1413.4399999999998,1413.9599999999998,1414.6599999999999,1413.36
2018-03-04,10870.857142857143,10598.285714285714,11103.714285714286,10405.414285714285,1420.4199999999998,1420.4199999999998,1420.4199999999998,1420.4199999999998
2018-03-11,9835.128571428571,10124.6,10393.371428571429,9414.028571428571,1427.2,1427.2,1427.2,1427.2
