areaCode,areaName,areaType,date,newCasesBySpecimenDate
K02000001,United Kingdom,overview,2020-11-14,17983
K02000001,United Kingdom,overview,2020-11-13,24027
K02000001,United Kingdom,overview,2020-11-12,24459
K02000001,United Kingdom,overview,2020-11-11,27344
K02000001,United Kingdom,overview,2020-11-10,27409
K02000001,United Kingdom,overview,2020-11-09,31039
K02000001,United Kingdom,overview,2020-11-08,19957
K02000001,United Kingdom,overview,2020-11-07,18515
K02000001,United Kingdom,overview,2020-11-06,23320
K02000001,United Kingdom,overview,2020-11-05,23733
K02000001,United Kingdom,overview,2020-11-04,23668
K02000001,United Kingdom,overview,2020-11-03,25575
K02000001,United Kingdom,overview,2020-11-02,31507
K02000001,United Kingdom,overview,2020-11-01,15748
K02000001,United Kingdom,overview,2020-10-31,16479
K02000001,United Kingdom,overview,2020-10-30,22649
K02000001,United Kingdom,overview,2020-10-29,23333
K02000001,United Kingdom,overview,2020-10-28,23604
K02000001,United Kingdom,overview,2020-10-27,24075
K02000001,United Kingdom,overview,2020-10-26,26543
K02000001,United Kingdom,overview,2020-10-25,15715
K02000001,United Kingdom,overview,2020-10-24,16220
K02000001,United Kingdom,overview,2020-10-23,21449
K02000001,United Kingdom,overview,2020-10-22,23223
K02000001,United Kingdom,overview,2020-10-21,25422
K02000001,United Kingdom,overview,2020-10-20,25310
K02000001,United Kingdom,overview,2020-10-19,25602
K02000001,United Kingdom,overview,2020-10-18,14190
K02000001,United Kingdom,overview,2020-10-17,14747
K02000001,United Kingdom,overview,2020-10-16,17709
K02000001,United Kingdom,overview,2020-10-15,18415
K02000001,United Kingdom,overview,2020-10-14,19686
K02000001,United Kingdom,overview,2020-10-13,18874
K02000001,United Kingdom,overview,2020-10-12,19417
K02000001,United Kingdom,overview,2020-10-11,12055
K02000001,United Kingdom,overview,2020-10-10,12500
K02000001,United Kingdom,overview,2020-10-09,15712
K02000001,United Kingdom,overview,2020-10-08,18225
K02000001,United Kingdom,overview,2020-10-07,18307
K02000001,United Kingdom,overview,2020-10-06,17043
K02000001,United Kingdom,overview,2020-10-05,16540
K02000001,United Kingdom,overview,2020-10-04,11795
K02000001,United Kingdom,overview,2020-10-03,11522
K02000001,United Kingdom,overview,2020-10-02,13681
K02000001,United Kingdom,overview,2020-10-01,13185
K02000001,United Kingdom,overview,2020-09-30,12554
K02000001,United Kingdom,overview,2020-09-29,10223
K02000001,United Kingdom,overview,2020-09-28,9918
K02000001,United Kingdom,overview,2020-09-27,6968
K02000001,United Kingdom,overview,2020-09-26,6745
K02000001,United Kingdom,overview,2020-09-25,7235
K02000001,United Kingdom,overview,2020-09-24,7599
K02000001,United Kingdom,overview,2020-09-23,7047
K02000001,United Kingdom,overview,2020-09-22,6396
K02000001,United Kingdom,overview,2020-09-21,5595
K02000001,United Kingdom,overview,2020-09-20,5313
K02000001,United Kingdom,overview,2020-09-19,4847
K02000001,United Kingdom,overview,2020-09-18,4954
K02000001,United Kingdom,overview,2020-09-17,4617
K02000001,United Kingdom,overview,2020-09-16,4346
K02000001,United Kingdom,overview,2020-09-15,3537
K02000001,United Kingdom,overview,2020-09-14,3380
K02000001,United Kingdom,overview,2020-09-13,2129
K02000001,United Kingdom,overview,2020-09-12,2655
K02000001,United Kingdom,overview,2020-09-11,3285
K02000001,United Kingdom,overview,2020-09-10,3576
K02000001,United Kingdom,overview,2020-09-09,3328
K02000001,United Kingdom,overview,2020-09-08,3302
K02000001,United Kingdom,overview,2020-09-07,3858
K02000001,United Kingdom,overview,2020-09-06,2439
K02000001,United Kingdom,overview,2020-09-05,2540
K02000001,United Kingdom,overview,2020-09-04,3037
K02000001,United Kingdom,overview,2020-09-03,3093
K02000001,United Kingdom,overview,2020-09-02,2993
K02000001,United Kingdom,overview,2020-09-01,2249
K02000001,United Kingdom,overview,2020-08-31,1501
K02000001,United Kingdom,overview,2020-08-30,1159
K02000001,United Kingdom,overview,2020-08-29,1221
K02000001,United Kingdom,overview,2020-08-28,1620
K02000001,United Kingdom,overview,2020-08-27,1550
K02000001,United Kingdom,overview,2020-08-26,1350
K02000001,United Kingdom,overview,2020-08-25,1245
K02000001,United Kingdom,overview,2020-08-24,1272
K02000001,United Kingdom,overview,2020-08-23,824
K02000001,United Kingdom,overview,2020-08-22,824
K02000001,United Kingdom,overview,2020-08-21,1197
K02000001,United Kingdom,overview,2020-08-20,1459
K02000001,United Kingdom,overview,2020-08-19,1241
K02000001,United Kingdom,overview,2020-08-18,1082
K02000001,United Kingdom,overview,2020-08-17,1278
K02000001,United Kingdom,overview,2020-08-16,598
K02000001,United Kingdom,overview,2020-08-15,694
K02000001,United Kingdom,overview,2020-08-14,1161
K02000001,United Kingdom,overview,2020-08-13,1139
K02000001,United Kingdom,overview,2020-08-12,1207
K02000001,United Kingdom,overview,2020-08-11,1340
K02000001,United Kingdom,overview,2020-08-10,1469
K02000001,United Kingdom,overview,2020-08-09,614
K02000001,United Kingdom,overview,2020-08-08,695
K02000001,United Kingdom,overview,2020-08-07,943
K02000001,United Kingdom,overview,2020-08-06,1080
K02000001,United Kingdom,overview,2020-08-05,1057
K02000001,United Kingdom,overview,2020-08-04,1018
K02000001,United Kingdom,overview,2020-08-03,1037
K02000001,United Kingdom,overview,2020-08-02,554
K02000001,United Kingdom,overview,2020-08-01,542
K02000001,United Kingdom,overview,2020-07-31,676
K02000001,United Kingdom,overview,2020-07-30,925
K02000001,United Kingdom,overview,2020-07-29,1038
K02000001,United Kingdom,overview,2020-07-28,841
K02000001,United Kingdom,overview,2020-07-27,856
K02000001,United Kingdom,overview,2020-07-26,558
K02000001,United Kingdom,overview,2020-07-25,524
K02000001,United Kingdom,overview,2020-07-24,773
K02000001,United Kingdom,overview,2020-07-23,796
K02000001,United Kingdom,overview,2020-07-22,795
K02000001,United Kingdom,overview,2020-07-21,782
K02000001,United Kingdom,overview,2020-07-20,812
K02000001,United Kingdom,overview,2020-07-19,444
K02000001,United Kingdom,overview,2020-07-18,497
K02000001,United Kingdom,overview,2020-07-17,580
K02000001,United Kingdom,overview,2020-07-16,706
K02000001,United Kingdom,overview,2020-07-15,773
K02000001,United Kingdom,overview,2020-07-14,692
K02000001,United Kingdom,overview,2020-07-13,736
K02000001,United Kingdom,overview,2020-07-12,369
K02000001,United Kingdom,overview,2020-07-11,446
K02000001,United Kingdom,overview,2020-07-10,565
K02000001,United Kingdom,overview,2020-07-09,719
K02000001,United Kingdom,overview,2020-07-08,702
K02000001,United Kingdom,overview,2020-07-07,604
K02000001,United Kingdom,overview,2020-07-06,705
K02000001,United Kingdom,overview,2020-07-05,556
K02000001,United Kingdom,overview,2020-07-04,402
K02000001,United Kingdom,overview,2020-07-03,574
K02000001,United Kingdom,overview,2020-07-02,610
K02000001,United Kingdom,overview,2020-07-01,657
K02000001,United Kingdom,overview,2020-06-30,617
K02000001,United Kingdom,overview,2020-06-29,727
K02000001,United Kingdom,overview,2020-06-28,446
K02000001,United Kingdom,overview,2020-06-27,652
K02000001,United Kingdom,overview,2020-06-26,669
K02000001,United Kingdom,overview,2020-06-25,719
K02000001,United Kingdom,overview,2020-06-24,775
K02000001,United Kingdom,overview,2020-06-23,888
K02000001,United Kingdom,overview,2020-06-22,894
K02000001,United Kingdom,overview,2020-06-21,637
K02000001,United Kingdom,overview,2020-06-20,686
K02000001,United Kingdom,overview,2020-06-19,996
K02000001,United Kingdom,overview,2020-06-18,1025
K02000001,United Kingdom,overview,2020-06-17,1012
K02000001,United Kingdom,overview,2020-06-16,1103
K02000001,United Kingdom,overview,2020-06-15,1041
K02000001,United Kingdom,overview,2020-06-14,819
K02000001,United Kingdom,overview,2020-06-13,887
K02000001,United Kingdom,overview,2020-06-12,1058
K02000001,United Kingdom,overview,2020-06-11,1010
K02000001,United Kingdom,overview,2020-06-10,1191
K02000001,United Kingdom,overview,2020-06-09,1153
K02000001,United Kingdom,overview,2020-06-08,1096
K02000001,United Kingdom,overview,2020-06-07,722
K02000001,United Kingdom,overview,2020-06-06,806
K02000001,United Kingdom,overview,2020-06-05,1126
K02000001,United Kingdom,overview,2020-06-04,1250
K02000001,United Kingdom,overview,2020-06-03,1356
K02000001,United Kingdom,overview,2020-06-02,1485
K02000001,United Kingdom,overview,2020-06-01,1439
K02000001,United Kingdom,overview,2020-05-31,1081
K02000001,United Kingdom,overview,2020-05-30,1118
K02000001,United Kingdom,overview,2020-05-29,1527
K02000001,United Kingdom,overview,2020-05-28,1755
K02000001,United Kingdom,overview,2020-05-27,1825
K02000001,United Kingdom,overview,2020-05-26,2056
K02000001,United Kingdom,overview,2020-05-25,1616
K02000001,United Kingdom,overview,2020-05-24,1365
K02000001,United Kingdom,overview,2020-05-23,1527
K02000001,United Kingdom,overview,2020-05-22,2052
K02000001,United Kingdom,overview,2020-05-21,2565
K02000001,United Kingdom,overview,2020-05-20,2701
K02000001,United Kingdom,overview,2020-05-19,3049
K02000001,United Kingdom,overview,2020-05-18,2576
K02000001,United Kingdom,overview,2020-05-17,1835
K02000001,United Kingdom,overview,2020-05-16,2075
K02000001,United Kingdom,overview,2020-05-15,2524
K02000001,United Kingdom,overview,2020-05-14,2622
K02000001,United Kingdom,overview,2020-05-13,3308
K02000001,United Kingdom,overview,2020-05-12,3388
K02000001,United Kingdom,overview,2020-05-11,3575
K02000001,United Kingdom,overview,2020-05-10,2322
K02000001,United Kingdom,overview,2020-05-09,2165
K02000001,United Kingdom,overview,2020-05-08,3064
K02000001,United Kingdom,overview,2020-05-07,3771
K02000001,United Kingdom,overview,2020-05-06,3817
K02000001,United Kingdom,overview,2020-05-05,3669
K02000001,United Kingdom,overview,2020-05-04,3390
K02000001,United Kingdom,overview,2020-05-03,2988
K02000001,United Kingdom,overview,2020-05-02,3232
K02000001,United Kingdom,overview,2020-05-01,4733
K02000001,United Kingdom,overview,2020-04-30,4955
K02000001,United Kingdom,overview,2020-04-29,5423
K02000001,United Kingdom,overview,2020-04-28,4711
K02000001,United Kingdom,overview,2020-04-27,4704
K02000001,United Kingdom,overview,2020-04-26,3470
K02000001,United Kingdom,overview,2020-04-25,3742
K02000001,United Kingdom,overview,2020-04-24,4953
K02000001,United Kingdom,overview,2020-04-23,5146
K02000001,United Kingdom,overview,2020-04-22,5480
K02000001,United Kingdom,overview,2020-04-21,4763
K02000001,United Kingdom,overview,2020-04-20,4415
K02000001,United Kingdom,overview,2020-04-19,3852
K02000001,United Kingdom,overview,2020-04-18,4703
K02000001,United Kingdom,overview,2020-04-17,4936
K02000001,United Kingdom,overview,2020-04-16,5272
K02000001,United Kingdom,overview,2020-04-15,5044
K02000001,United Kingdom,overview,2020-04-14,4296
K02000001,United Kingdom,overview,2020-04-13,4166
K02000001,United Kingdom,overview,2020-04-12,3480
K02000001,United Kingdom,overview,2020-04-11,3552
K02000001,United Kingdom,overview,2020-04-10,4309
K02000001,United Kingdom,overview,2020-04-09,4851
K02000001,United Kingdom,overview,2020-04-08,5118
K02000001,United Kingdom,overview,2020-04-07,5428
K02000001,United Kingdom,overview,2020-04-06,5256
K02000001,United Kingdom,overview,2020-04-05,3583
K02000001,United Kingdom,overview,2020-04-04,4009
K02000001,United Kingdom,overview,2020-04-03,4889
K02000001,United Kingdom,overview,2020-04-02,4856
K02000001,United Kingdom,overview,2020-04-01,4931
K02000001,United Kingdom,overview,2020-03-31,4515
K02000001,United Kingdom,overview,2020-03-30,4259
K02000001,United Kingdom,overview,2020-03-29,2853
K02000001,United Kingdom,overview,2020-03-28,2816
K02000001,United Kingdom,overview,2020-03-27,3183
K02000001,United Kingdom,overview,2020-03-26,3080
K02000001,United Kingdom,overview,2020-03-25,2688
K02000001,United Kingdom,overview,2020-03-24,2369
K02000001,United Kingdom,overview,2020-03-23,2322
