Date,Volume,Name
2021-01-11,123320567399,BTC-USD
2021-01-12,74773277909,BTC-USD
2021-01-13,69364315979,BTC-USD
2021-01-14,63615990033,BTC-USD
2021-01-15,67760757881,BTC-USD
2021-01-16,57706187875,BTC-USD
2021-01-17,52359854336,BTC-USD
2021-01-18,49511702429,BTC-USD
2021-01-19,57244195486,BTC-USD
2021-01-20,66834573161,BTC-USD
2021-01-21,75643067688,BTC-USD
2021-01-22,77207272511,BTC-USD
2021-01-23,48354737975,BTC-USD
2021-01-24,48643830599,BTC-USD
2021-01-25,59897054838,BTC-USD
2021-01-26,60255421470,BTC-USD
2021-01-27,62576762015,BTC-USD
2021-01-28,78948162368,BTC-USD
2021-01-29,117894572511,BTC-USD
2021-01-30,65141828798,BTC-USD
2021-01-31,52754542671,BTC-USD
2021-02-01,61400400660,BTC-USD
2021-02-02,63088585433,BTC-USD
2021-02-03,61166818159,BTC-USD
2021-02-04,68838074392,BTC-USD
2021-02-05,58598066402,BTC-USD
2021-02-06,71326033653,BTC-USD
2021-02-07,65500641143,BTC-USD
2021-02-08,101467222687,BTC-USD
2021-02-09,91809846886,BTC-USD
2021-02-10,87301089896,BTC-USD
2021-02-11,81388911810,BTC-USD
2021-02-12,76555041196,BTC-USD
2021-02-13,70250456155,BTC-USD
2021-02-14,71248675228,BTC-USD
2021-02-15,77069903166,BTC-USD
2021-02-16,77049582886,BTC-USD
2021-02-17,80820545404,BTC-USD
2021-02-18,52054723579,BTC-USD
2021-02-19,63495496918,BTC-USD
2021-02-20,68145460026,BTC-USD
2021-02-21,51897585191,BTC-USD
2021-02-22,92052420332,BTC-USD
2021-02-23,106102492824,BTC-USD
2021-02-24,63695521388,BTC-USD
2021-02-25,54506565949,BTC-USD
2021-02-26,350967941479,BTC-USD
2021-02-27,45910946382,BTC-USD
2021-02-28,53443887451,BTC-USD
2021-03-01,53891300112,BTC-USD
2021-03-02,47530897720,BTC-USD
2021-03-03,53220811975,BTC-USD
2021-03-04,52343816680,BTC-USD
2021-03-05,48625928883,BTC-USD
2021-03-06,34363564661,BTC-USD
2021-03-07,43137459378,BTC-USD
2021-03-08,48597428048,BTC-USD
2021-03-09,50912227385,BTC-USD
2021-03-10,57295577614,BTC-USD
2021-03-11,56772343595,BTC-USD
2021-03-12,55689944702,BTC-USD
2021-03-13,60669829814,BTC-USD
2021-03-14,43901225564,BTC-USD
2021-03-15,66419369890,BTC-USD
2021-03-16,59749798599,BTC-USD
2021-03-17,60258313191,BTC-USD
2021-03-18,55746041000,BTC-USD
2021-03-19,49063873786,BTC-USD
2021-03-20,50361731222,BTC-USD
2021-03-21,51943414539,BTC-USD
2021-03-22,56521454974,BTC-USD
2021-03-23,56435023914,BTC-USD
2021-03-24,70567223787,BTC-USD
2021-03-25,67999812841,BTC-USD
2021-03-26,56652197978,BTC-USD
2021-03-27,47266542233,BTC-USD
2021-03-28,47686580918,BTC-USD
2021-03-29,57625587027,BTC-USD
2021-03-30,54414116432,BTC-USD
2021-03-31,65520826225,BTC-USD
2021-04-01,61669163792,BTC-USD
2021-04-02,58727860620,BTC-USD
2021-04-03,59641344484,BTC-USD
2021-04-04,50749662970,BTC-USD
2021-04-05,60706272115,BTC-USD
2021-04-06,66058027988,BTC-USD
2021-04-07,75645303584,BTC-USD
2021-04-08,53053855641,BTC-USD
2021-04-09,46655208546,BTC-USD
2021-04-10,58238470525,BTC-USD
2021-04-11,46280252580,BTC-USD
2021-04-12,51828688519,BTC-USD
2021-04-13,69983454362,BTC-USD
2021-04-14,77451779687,BTC-USD
2021-04-15,60954381579,BTC-USD
2021-04-16,84293007468,BTC-USD
2021-04-17,66138759198,BTC-USD
2021-04-18,97468872758,BTC-USD
2021-04-19,65344865159,BTC-USD
2021-04-20,67849323955,BTC-USD
2021-04-21,54926612466,BTC-USD
2021-04-22,74798630778,BTC-USD
2021-04-23,86668667320,BTC-USD
2021-04-24,49014494781,BTC-USD
2021-04-25,46117114240,BTC-USD
2021-04-26,58284039825,BTC-USD
2021-04-27,49448222757,BTC-USD
2021-04-28,48000572955,BTC-USD
2021-04-29,46088929780,BTC-USD
2021-04-30,52395931985,BTC-USD
2021-05-01,42836427360,BTC-USD
